code,name,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
42017,Bucks,604.3667497,1038.5548185,44,0,0,0,0,0,0,0,0,621241,622859,624351,625485,625977,626205,626583,626220,626486,626370,626806,627668
42019,Butler,789.4856443,237.873863,43.4,0,0,0,0,0,0,0,0,182519,182554,183317,183946,184535,185034,185689,185974,185984,186566,186899,187798
42021,Cambria,687.5097553,191.4314655,45.6,0,0,0,0,0,0,0,0,145219,144741,144489,143305,142448,140835,139381,137762,135871,134550,133009,131611
42023,Cameron,396.2331634,11.3872346,51.6,0,0,0,0,0,0,0,0,5334,5197,5130,5058,5000,4939,4869,4807,4754,4686,4611,4512
42025,Carbon,381.3233599,167.7421494,46.6,0,0,0,0,0,0,0,0,62856,64563,64974,65101,65074,64874,64634,64330,63987,63931,63887,63964
42027,Centre,1108.7068707,146.3542838,32.9,0,0,0,0,0,0,0,0,144306,151411,152689,153758,154460,156240,157823,159178,160646,161443,161960,162264
42029,Chester,750.5456766,695.467333,40.6,0,0,0,0,0,0,0,0,486301,490571,495651,499548,503075,506422,509797,512028,514652,517156,519560,521980
42031,Clarion,600.8348523,64.2988666,41.8,0,0,0,0,0,0,0,0,39857,40290,40178,39991,39720,39437,39454,38939,38747,38827,38715,38633
42033,Clearfield,1145.3245453,69.3829538,45.4,0,0,0,0,0,0,0,0,82482,82131,81954,81668,81536,81472,81343,81170,80539,80216,79908,79466
42035,Clinton,887.9835003,43.4118427,39.4,0,0,0,0,0,0,0,0,37063,38970,39015,39261,39501,39611,39614,39536,39321,39074,38915,38549
42037,Columbia,483.2111313,135.3238693,41.2,0,0,0,0,0,0,0,0,64837,66642,67020,66984,67021,67089,66912,66772,66615,66220,65715,65390
42039,Crawford,1012.3545045,84.0357796,43.3,0,0,0,0,0,0,0,0,88810,89153,89058,88492,88173,87801,87343,87027,86847,86164,85665,85074
42041,Cumberland,545.4791713,461.0386853,40.7,0,0,0,0,0,0,0,0,227858,231336,233726,235314,237449,239420,241427,243838,245801,247433,249328,251487
42043,Dauphin,524.8697342,527.8852674,39.6,0,0,0,0,0,0,0,0,256400,264823,266576,267891,269035,269946,271094,271962,273329,274515,275632,277071
42045,Delaware,183.8110498,3075.5931184,38.9,0,0,0,0,0,0,0,0,555018,556468,557648,558874,559771,560775,561683,562316,563384,563527,564554,565328
42047,Elk,826.900761,36.3731676,47.9,0,0,0,0,0,0,0,0,32594,32480,32233,31981,31799,31584,31370,31111,30781,30608,30340,30077
42049,Erie,798.9122514,340.5205009,39.7,0,0,0,0,0,0,0,0,279721,279234,279824,280181,280518,280132,279858,279133,277794,275972,273835,272046
42051,Fayette,790.7577272,164.8153354,45.1,0,0,0,0,0,0,0,0,143925,138807,137803,136914,136145,135376,134851,134229,133160,132289,131302,130329
42053,Forest,427.2586361,16.8282146,47,0,0,0,0,0,0,0,0,6811,7585,7600,7664,7696,7649,7581,7493,7388,7351,7313,7190
42055,Franklin,772.2985521,200.640024,41.7,0,0,0,0,0,0,0,0,141556,146558,148239,149554,150594,151517,152285,152707,153003,153751,154147,154954
42057,Fulton,437.5510311,33.1207081,45.7,0,0,0,0,0,0,0,0,14808,14839,14858,14829,14779,14747,14694,14653,14631,14506,14506,14492
42059,Greene,575.9319712,63.3477595,42.5,0,0,0,0,0,0,0,0,39509,39003,38895,38614,38362,38171,37938,37669,37338,37144,36870,36484
42061,Huntingdon,874.6510014,51.6148726,44.1,0,0,0,0,0,0,0,0,45479,45830,45898,45931,45874,45950,45906,45844,45686,45421,45369,45145
42063,Indiana,827.4031633,102.0820366,40.2,0,0,0,0,0,0,0,0,87629,88745,88997,88648,88404,88301,87895,87491,86551,85755,85032,84463
42065,Jefferson,652.4348692,66.7806122,43.9,0,0,0,0,0,0,0,0,44965,45244,45173,45051,45015,44935,44756,44575,44258,44084,43846,43570
42067,Juniata,391.3905023,62.9984628,42.9,0,0,0,0,0,0,0,0,23107,24385,24439,24664,24737,24793,24829,24811,24448,24562,24624,24657
42069,Lackawanna,458.8857428,457.9832852,42.1,0,0,0,0,0,0,0,0,209100,213731,214057,214353,214275,214023,213459,213006,211960,211454,210652,210162
42071,Lancaster,943.9231935,575.3116395,38.7,0,0,0,0,0,0,0,0,498918,511250,515817,519913,523306,526839,530216,533110,536494,538347,540999,543050
42073,Lawrence,357.3647891,241.0646002,45.3,0,0,0,0,0,0,0,0,90962,91682,91341,90885,90374,89859,89162,88528,88231,87382,86727,86148
42075,Lebanon,361.8349538,388.0498512,41.1,0,0,0,0,0,0,0,0,127882,131341,132550,133578,134411,135184,135776,136950,137616,138674,139729,140410
42077,Lehigh,345.3305233,1063.728733,39,0,0,0,0,0,0,0,0,337077,343946,347197,350165,352068,354537,356756,358792,360774,362613,365052,367338
42079,Luzerne,889.8756065,356.8442574,42.7,0,0,0,0,0,0,0,0,311919,319120,319897,320555,320827,320392,320095,318917,318222,317884,317663,317547
42081,Lycoming,1228.9185588,92.7758794,41.5,0,0,0,0,0,0,0,0,117043,116376,116335,116447,116604,116676,116656,116313,115398,114859,114330,114014
42083,McKean,979.6933127,41.8712667,43.6,0,0,0,0,0,0,0,0,43622,43853,43642,43451,43294,43024,42884,42609,42070,41806,41401,41021
42085,Mercer,672.5198676,164.3356655,45,0,0,0,0,0,0,0,0,117098,117296,116939,116474,116059,115739,115320,114598,113623,112630,111518,110519
42087,Mifflin,411.0449284,112.3453832,44,0,0,0,0,0,0,0,0,45961,46583,46671,46694,46698,46705,46675,46585,46452,46362,46276,46179
42089,Monroe,608.355484,277.5087994,43.3,0,0,0,0,0,0,0,0,163925,168080,169050,169346,168947,168342,167881,167126,167306,167586,168032,168824
